"game_id","nickname","score","rating"
196,"BeautifulWaste",233,1816
196,"BetterBot",407,2087
197,"HastyBot",583,2169
197,"twjiayu",300,1554
199,"HastyBot",366,1614
199,"BB-8",442,1500
202,"BB-8",414,1500
202,"HastyBot",403,1664
203,"inkylap",268,1310
203,"BetterBot",416,1637
204,"Abdulmumin",339,2245
204,"HastyBot",573,2259
205,"Uzams",408,1834
205,"STEEBot",483,2170
209,"vannandonly",452,2120
209,"HastyBot",477,2220
210,"STEEBot",446,2102
210,"HivinD",369,2072
211,"HastyBot",413,2199
211,"jasonkb",423,1708
214,"BB-8",428,1500
214,"HastyBot",368,1614
215,"STEEBot",427,1834
215,"BethMix",290,1603
216,"Anita",430,1542
216,"BetterBot",364,1730
217,"HastyBot",397,1649
217,"BB-8",364,1500
218,"HastyBot",435,1640
218,"BB-8",341,1500
220,"bubbat",508,1790
220,"HastyBot",321,1982
222,"Trayz",410,1956
222,"STEEBot",385,2077
224,"MagiKrap",468,1947
224,"BetterBot",340,2084
225,"BetterBot",418,1988
225,"The_Master",323,1912
226,"forwords",445,2185
226,"BetterBot",381,1977
227,"STEEBot",364,1899
227,"Kakapo",399,1941
228,"ahmadthegreat",388,1973
228,"STEEBot",361,2191
229,"BetterBot",357,1847
229,"pandorable",356,1754
233,"BetterBot",332,1957
233,"pandorable",398,1585
234,"Matt_86",353,1885
234,"BetterBot",409,1956
236,"Mollygardner",251,1511
236,"STEEBot",443,1882
237,"BeautifulWaste",306,1781
237,"BetterBot",398,1967
241,"Wildgarlic",365,1716
241,"STEEBot",436,1844
242,"HastyBot",435,1664
242,"BB-8",305,1500
245,"shreyas3",376,1725
245,"HastyBot",529,2214
246,"STEEBot",291,1888
246,"joeboy2",415,1670
247,"BB-8",313,1500
247,"HastyBot",385,1640
248,"BobVanech",383,1577
248,"BetterBot",476,1652
249,"bbharath",390,1872
249,"STEEBot",469,2156
250,"HastyBot",426,2252
250,"gameatiruth",544,2143
252,"meetsumeet",447,1929
252,"STEEBot",449,2017
253,"Goldenlamb",292,2043
253,"STEEBot",418,2147
254,"BetterBot",254,1891
254,"paterae",591,2074
257,"BetterBot",339,1902
257,"MankDemes",434,1500
260,"STEEBot",501,2158
260,"MasterYeri",459,1991
266,"BB-8",331,1500
266,"HastyBot",477,1614
267,"BetterBot",304,1681
267,"TheGidfather",330,1494
268,"STEEBot",381,2112
268,"Goldenlamb",419,2033
271,"BB-8",350,1500
271,"HastyBot",354,1649
272,"Loeloeraai",370,1725
272,"BetterBot",342,2094
274,"kar2008",469,1823
274,"BetterBot",459,1657
275,"Marble_Donut",370,1852
275,"HastyBot",460,1998
277,"STEEBot",430,2098
277,"Goldenlamb",357,2019
279,"BB-8",357,1500
279,"HastyBot",283,1664
280,"BetterBot",366,2070
280,"Xerxes",336,1884
282,"BetterBot",507,1633
282,"Kovert",391,1771
283,"BetterBot",481,1901
283,"PVMG",446,1922
284,"dathanl",352,1609
284,"BetterBot",320,1651
287,"rak1507",306,2026
287,"STEEBot",461,2180
289,"HastyBot",444,2174
289,"jason141414",397,1957
290,"BetterBot",333,1680
290,"frs",489,1732
292,"STEEBot",418,1849
292,"sbush",405,1829
293,"Raven10",425,1947
293,"HastyBot",536,2180
294,"STEEBot",392,2143
294,"NatthanonL",411,2010
297,"akiff_faleel",397,2034
297,"STEEBot",584,2124
298,"HastyBot",370,1649
298,"BB-8",365,1500
299,"BillooBhai_Pak",407,2032
299,"HastyBot",435,2210
300,"HastyBot",352,1664
300,"BB-8",360,1500
301,"BetterBot",398,2015
301,"arjun15",446,1812
302,"STEEBot",533,2124
302,"Lola",319,1900
303,"MSHS-21KADMUSLEE",359,1896
303,"STEEBot",391,2082
304,"STEEBot",387,1920
304,"saint",354,1982
306,"STEEBot",393,2016
306,"Rexington",430,2088
308,"HastyBot",389,2206
308,"Inandoutworker",509,1530
311,"davidavid",404,1832
311,"BetterBot",373,2064
313,"Rexington",469,2037
313,"STEEBot",385,2082
314,"djMikSlay",319,2009
314,"BetterBot",398,1929
315,"STEEBot",419,2135
315,"akiff_faleel",369,2035
316,"STEEBot",498,1845
316,"BethMix",352,1608
317,"HastyBot",405,2224
317,"Indominus",508,2182
318,"HastyBot",371,1614
318,"BB-8",447,1500
319,"STEEBot",513,2155
319,"shaneabbas",444,1921
321,"HastyBot",567,2223
321,"mytbear",372,2084
325,"MSHS-21KADMUSLEE",301,1808
325,"STEEBot",529,2062
326,"STEEBot",465,1863
326,"RomeoRat",356,1637
328,"HastyBot",494,2180
328,"NoelL",427,2066
331,"jocelot",456,1552
331,"BetterBot",362,1726
332,"halidom21",367,2154
332,"BetterBot",348,1909
336,"HastyBot",573,2255
336,"thraoph",322,2031
337,"Goldenwick",319,1386
337,"BetterBot",408,1674
339,"BB-8",384,1500
339,"HastyBot",441,1640
340,"BB-8",338,1500
340,"HastyBot",424,1615
341,"cudbear",442,2056
341,"STEEBot",421,2102
343,"jaundiced",478,1764
343,"STEEBot",384,1813
344,"BB-8",318,1500
344,"HastyBot",381,1615
345,"HastyBot",426,2231
345,"Muendo",325,1397
348,"STEEBot",426,1875
348,"Anita",291,1623
349,"HastyBot",459,2262
349,"rak1507",318,2025
352,"HastyBot",488,2265
352,"shcheah",368,2112
353,"davidavid",312,1836
353,"BetterBot",413,1967
355,"STEEBot",535,2175
355,"Sopejohn",287,1823
356,"STEEBot",418,2131
356,"Camelngz",382,1952
357,"BetterBot",354,1648
357,"Kovert",330,1764
358,"BetterBot",369,1959
358,"Gewgaw",325,1895
359,"HastyBot",407,2107
359,"joelimus",341,2019
360,"BetterBot",329,1958
360,"akiff_faleel",347,2078
362,"STEEBot",355,2092
362,"AWFUL",458,2208
363,"BetterBot",462,2025
363,"Kaumadee",332,1836
364,"BB-8",311,1500
364,"HastyBot",360,1649
365,"MarieDee",507,1975
365,"BetterBot",314,1936
367,"busker221",348,2057
367,"HastyBot",475,2243
368,"HastyBot",403,2254
368,"Dianaros",213,1145
370,"BetterBot",470,2015
370,"Yuki86",202,1262
372,"NimuthuWitharana",377,2181
372,"BetterBot",329,1931
373,"Banman1",431,1658
373,"STEEBot",343,1830
377,"BetterBot",435,1964
377,"NurdiniDelisha",313,1999
379,"NdiranguKaranjq",260,1241
379,"BetterBot",465,1975
380,"snorkl",393,1929
380,"STEEBot",438,2088
381,"STEEBot",531,2094
381,"BeanzCyclones",410,1956
382,"sungoer",465,1843
382,"HastyBot",405,2043
383,"chrisdon8tsalot",370,1671
383,"BetterBot",415,1768
384,"kar2008",379,1782
384,"BetterBot",349,1754
385,"Pasindu",298,2030
385,"BetterBot",461,2009
387,"tarkovsky7",398,1877
387,"HastyBot",471,2061
388,"sarainvt",285,1589
388,"STEEBot",406,1892
390,"BetterBot",476,1623
390,"kar2008",473,1798
391,"HastyBot",512,2032
391,"Rlowengrub",167,1253
392,"Meith",431,2042
392,"BetterBot",357,1969
393,"BetterBot",350,1991
393,"squashy",502,1815
394,"BetterBot",424,1985
394,"BeautifulWaste",337,1831
395,"STEEBot",478,2123
395,"shaunthesheep",428,1943
396,"STEEBot",425,1836
396,"Banman1",315,1653
397,"magic29",383,2035
397,"BetterBot",368,1884
399,"STEEBot",356,2178
399,"Goldenlamb",450,2002
404,"Q-Q",440,2037
404,"BetterBot",390,1980
405,"Crookshanks",306,2059
405,"STEEBot",546,2054
406,"UcheVictor",222,1951
406,"STEEBot",493,2144
407,"ChrisOB",416,2041
407,"HastyBot",421,2213
408,"tarkovsky7",479,1913
408,"HastyBot",348,2011
409,"akiff_faleel",350,2044
409,"STEEBot",465,2163
411,"BetterBot",402,1644
411,"sassaba",300,1446
413,"Crookshanks",390,1912
413,"BetterBot",366,1929
414,"HastyBot",421,2268
414,"inshal",420,1844
415,"STEEBot",574,2160
415,"Kii",376,1781
417,"STEEBot",470,2140
417,"Goldenlamb",460,2055
421,"Banman1",390,1710
421,"STEEBot",411,1871
422,"pandorable",280,1598
422,"BetterBot",478,1841
423,"kfraley",424,1952
423,"STEEBot",378,1844
424,"BetterBot",402,1709
424,"TheGidfather",351,1553
426,"Crookshanks",469,1992
426,"BetterBot",268,1979
427,"HastyBot",318,1640
427,"BB-8",481,1500
430,"STEEBot",372,1866
430,"SirFink",336,1420
431,"STEEBot",451,2152
431,"Sopejohn",406,1833
432,"STEEBot",450,1865
432,"spark1",350,1606
433,"DDarien",330,1881
433,"STEEBot",515,2150
434,"Gazzu",555,1719
434,"STEEBot",302,1850
436,"Rexington",390,2005
436,"STEEBot",373,2123
437,"ccm",464,1752
437,"HastyBot",328,1956
438,"Sopejohn",376,1823
438,"STEEBot",449,2137
440,"STEEBot",372,1837
440,"talulah",386,1579
442,"busker221",354,2065
442,"HastyBot",540,2141
444,"BetterBot",361,1980
444,"ZeMing",445,1947
445,"BetterBot",441,1976
445,"MarieDee",399,2025
447,"HastyBot",490,1977
447,"ccm",307,1778
448,"BetterBot",323,2010
448,"patricck",417,2279
449,"BethMix",355,1555
449,"HastyBot",425,2039
453,"bubbat",420,1796
453,"HastyBot",470,1931
454,"BetterBot",346,1943
454,"davidavid",392,1823
455,"STEEBot",460,2116
455,"bbharath",287,1872
457,"BB-8",398,1500
457,"HastyBot",391,1664
458,"STEEBot",428,1843
458,"saint",349,1944
459,"HastyBot",430,2216
459,"Matt_86",359,1957
460,"STEEBot",509,1791
460,"Mollygardner",372,1521
461,"HastyBot",304,1614
461,"BB-8",513,1500
467,"Ibrahim28",285,1464
467,"BetterBot",477,1854
468,"HastyBot",423,1614
468,"BB-8",406,1500
471,"BetterBot",424,2044
471,"buksss",391,1461
474,"HastyBot",382,2084
474,"thisguy",496,1832
475,"BetterBot",414,1755
475,"Toronto2",255,1464
480,"deathstar",322,1595
480,"STEEBot",485,1858
484,"BetterBot",375,2018
484,"Matt_86",443,2041
486,"Cepheid",478,1721
486,"HastyBot",406,2323
489,"BetterBot",385,1749
489,"Galena",382,1523
491,"STEEBot",383,1858
491,"pisces223",368,1576
492,"HastyBot",487,2013
492,"bubbat",313,1777
493,"HastyBot",500,2107
493,"rak1507",348,2098
494,"Fabio",443,2026
494,"HastyBot",484,2053
495,"Gimhan04",302,1719
495,"BetterBot",442,1968
496,"STEEBot",349,1787
496,"talulah",389,1583
497,"HastyBot",552,2116
497,"joelimus",437,2009
498,"Meith",438,2083
498,"BetterBot",365,1927
499,"Goldenwick",300,1345
499,"BetterBot",360,1651
501,"Sopejohn",385,1823
501,"STEEBot",556,2187
502,"BetterBot",336,1944
502,"Glilac",503,2014
503,"BetterBot",335,1710
503,"Kovert",415,1704
504,"magic29",403,1978
504,"BetterBot",332,2018
505,"Goldenlamb",439,2026
505,"STEEBot",422,2110
506,"BetterBot",449,1939
506,"PENapasa",326,1862
507,"HastyBot",436,2241
507,"noahslat",448,1867
510,"sbush",410,1837
510,"HastyBot",379,2033
511,"STEEBot",383,2124
511,"UcheVictor",518,1948
513,"BetterBot",353,1955
513,"kenting",425,1966
514,"STEEBot",322,1846
514,"MarvinK",467,1746
515,"pisces223",309,1646
515,"STEEBot",409,1892
516,"HastyBot",491,2214
516,"NoelL",332,2067
517,"HastyBot",454,2218
517,"Baphead",344,1790
519,"Vidyam",217,1297
519,"BetterBot",362,1941
521,"BB-8",324,1500
521,"HastyBot",485,1664
524,"arunwoogles",225,1549
524,"BetterBot",658,1930
525,"Possibilites",464,1868
525,"HastyBot",418,2306
526,"MSHS-21KADMUSLEE",356,1849
526,"STEEBot",568,2138
527,"ericdp",463,1703
527,"HastyBot",441,2212
529,"BetterBot",353,1686
529,"Goldenwick",388,1350
531,"HastyBot",314,1664
531,"BB-8",415,1500
532,"HastyBot",490,2224
532,"gameatiruth",451,2163
535,"BetterBot",375,1723
535,"Lydker",480,1746
536,"HastyBot",441,2039
536,"BethMix",164,1571
537,"BB-8",400,1500
537,"HastyBot",436,1614
538,"HastyBot",320,1664
538,"BB-8",425,1500
539,"LeChamp21",325,1695
539,"BetterBot",407,1990
540,"STEEBot",413,2239
540,"orlyns",321,2092
541,"RightBehindYou",437,2137
541,"HastyBot",399,2178
543,"STEEBot",389,1855
543,"Anita",428,1537
545,"STEEBot",469,2040
545,"rak1507",433,1924
547,"Crookshanks",321,1935
547,"BetterBot",354,2084
548,"BetterBot",398,2012
548,"Raihan",247,1698
549,"BetterBot",405,1895
549,"pandorable",303,1649
552,"BetterBot",345,1975
552,"Yasiru",350,2024
553,"BetterBot",369,1673
553,"Lydker",408,1663
554,"BetterBot",338,1972
554,"paterae",503,2085
555,"Bright",409,1794
555,"HastyBot",575,2100
556,"Rexington",369,2117
556,"STEEBot",350,2132
557,"shaunthesheep",421,1954
557,"STEEBot",471,2137
558,"ZARAKHAN",347,1620
558,"BetterBot",383,2014
561,"BetterBot",374,1894
561,"Knight2014",274,1816
562,"STEEBot",461,2131
562,"RKS",390,1719
564,"deathstar",330,1652
564,"STEEBot",495,1839
565,"BB-8",345,1500
565,"HastyBot",361,1615
567,"HastyBot",356,2178
567,"Esan",396,2101
568,"Zynx",344,1902
568,"BetterBot",459,1977
570,"Rexington",323,2058
570,"STEEBot",350,2081
571,"STEEBot",478,2096
571,"Glilac",342,2012
572,"STEEBot",430,1830
572,"Willeford",463,1824
575,"BB-8",392,1500
575,"HastyBot",373,1635
576,"BetterBot",429,1696
576,"Swaits",417,1541
577,"HastyBot",436,1664
577,"BB-8",393,1500
580,"Vishy56789",440,1716
580,"HastyBot",416,1999
581,"Matt_86",368,1962
581,"BetterBot",311,1969
582,"BetterBot",358,1670
582,"Goldenwick",310,1384
583,"iamnotbill",386,1824
583,"HastyBot",486,1987
584,"Okosagah",447,2177
584,"HastyBot",507,2246
585,"Lola",408,1986
585,"STEEBot",396,2146
586,"BetterBot",377,1692
586,"Kovert",400,1763
587,"BetterBot",469,1948
587,"The_Master",372,1916
588,"Jayallard",459,1693
588,"STEEBot",345,2076
590,"BetterBot",396,1977
590,"patricck",384,2183
591,"BetterBot",333,2020
591,"paterae",445,2109
592,"wagyu",472,1980
592,"BetterBot",270,1930
593,"jocelot",349,1556
593,"BetterBot",342,1653
596,"Hercules",361,1783
596,"STEEBot",419,1836
597,"BetterBot",440,1683
597,"Kovert",321,1714
598,"STEEBot",462,2075
598,"Omoyedivine",359,2014
600,"BB-8",369,1500
600,"HastyBot",412,1614
602,"Esan",408,2112
602,"HastyBot",481,2222
603,"HastyBot",499,2141
603,"Stanley",495,2160
604,"Soybadz01",419,1906
604,"BetterBot",346,2017
606,"HastyBot",329,1615
606,"BB-8",422,1500
607,"magic29",414,1979
607,"BetterBot",312,1895
609,"MYJTehx",358,1882
609,"BetterBot",416,2067
611,"Kovert",413,1769
611,"BetterBot",404,1676
612,"forwords",367,2146
612,"BetterBot",394,1949
613,"BetterBot",447,1966
613,"Scrabbler17",354,1801
614,"STEEBot",423,2147
614,"wagyus",473,2007
615,"HastyBot",482,2279
615,"mytbear",442,2068
617,"BetterBot",293,2010
617,"PENapasa",408,1824
618,"AqilZafran",490,1406
618,"BetterBot",273,1979
620,"TrentonTron",434,1983
620,"HastyBot",420,1990
621,"Munyama",359,1710
621,"STEEBot",353,2239
622,"STEEBot",485,2108
622,"atay8",442,2175
623,"BB-8",255,1500
623,"HastyBot",506,1615
624,"Banman1",397,1630
624,"STEEBot",390,1823
625,"HastyBot",439,1640
625,"BB-8",314,1500
626,"STEEBot",331,2153
626,"MSHS-21KADMUSLEE",434,1837
627,"Camelngz",360,1896
627,"STEEBot",454,2141
628,"gregthaopenny",437,1641
628,"BetterBot",408,1644
629,"BB-8",454,1500
629,"HastyBot",307,1640
630,"220674_ZAVEPHUA",347,1647
630,"HastyBot",412,2241
632,"STEEBot",484,2079
632,"Abdulmumin",387,2149
634,"HastyBot",471,1615
634,"BB-8",309,1500
635,"BB-8",425,1500
635,"HastyBot",394,1614
637,"Matt_86",545,1957
637,"HastyBot",390,2235
638,"HastyBot",556,2268
638,"saracen256",333,1873
640,"STEEBot",320,2118
640,"Uzams",415,1782
641,"meetsumeet",427,1945
641,"STEEBot",457,2034
642,"BetterBot",388,1696
642,"kar2008",523,1794
643,"UMIAQ",350,2102
643,"HastyBot",473,2266
645,"BB-8",261,1500
645,"HastyBot",452,1640
646,"MankDemes",327,1500
646,"BetterBot",415,1928
648,"Matt_86",422,1952
648,"HastyBot",438,2228
649,"xinjiechin",416,1605
649,"BetterBot",365,1991
653,"MobileJim",368,2039
653,"HastyBot",439,2197
654,"BetterBot",373,1843
654,"pandorable",366,1678
656,"HastyBot",520,2204
656,"Esan",474,2065
657,"snorkl",359,1883
657,"STEEBot",475,2108
658,"BetterBot",363,1954
658,"PVMG",376,1959
660,"stevy",443,1500
660,"BetterBot",387,1738
661,"BetterBot",445,2000
661,"rqts",292,1704
662,"BetterBot",438,1902
662,"Torquayfan2303",369,2078
664,"BetterBot",538,1985
664,"Yuki86",205,1266
665,"Goldenwick",270,1306
665,"BetterBot",329,1733
666,"HivinD",421,2016
666,"BetterBot",319,1926
667,"NurdiniDelisha",289,1999
667,"BetterBot",429,1998
669,"cityboy",388,1724
669,"STEEBot",445,1813
670,"STEEBot",513,1837
670,"talulah",343,1579
671,"BetterBot",447,1926
671,"rqts",399,1654
673,"BB-8",368,1500
673,"HastyBot",483,1615
674,"frs",403,1755
674,"BetterBot",403,1625
675,"patricck",409,2282
675,"BetterBot",422,2055
676,"shcheah",369,2089
676,"HastyBot",422,2253
677,"HastyBot",514,2230
677,"jesusbeloved",390,2019
678,"Leo",402,1734
678,"STEEBot",463,1862
679,"BetterBot",368,2093
679,"squashy",349,2078
681,"pandorable",222,1640
681,"BetterBot",458,1884
682,"STEEBot",523,2164
682,"Goldenlamb",398,1942
684,"HastyBot",441,1664
684,"BB-8",322,1500
686,"HastyBot",483,2031
686,"jaundiced",415,1892
687,"HastyBot",414,2184
687,"Inandoutworker",455,1507
689,"BetterBot",433,1913
689,"Yuki86",232,1271
690,"HastyBot",491,2264
690,"Glilac",367,2048
691,"STEEBot",393,2088
691,"YLT",369,1879
692,"STEEBot",378,1818
692,"talulah",405,1625
694,"josh",316,1521
694,"HastyBot",466,1976
695,"Esan",437,2136
695,"HastyBot",457,2248
696,"HastyBot",472,1995
696,"bonehead",420,1939
697,"BetterBot",406,1659
697,"Goldenwick",362,1347
698,"BB-8",302,1500
698,"HastyBot",373,1640
699,"BB-8",394,1500
699,"HastyBot",362,1614
701,"Mimix",290,1799
701,"BetterBot",373,2075
704,"lsutiger",327,1711
704,"BetterBot",348,1653
705,"Kovert",396,1798
705,"BetterBot",376,1696
706,"STEEBot",481,2189
706,"YLT",376,1879
707,"HastyBot",592,2187
707,"Matt_86",372,1957
709,"STEEBot",450,2124
709,"reinked",440,1903
711,"BB-8",356,1500
711,"HastyBot",519,1614
712,"jaundiced",437,1858
712,"STEEBot",412,1897
715,"HastyBot",456,1664
715,"BB-8",326,1500
716,"Kovert",350,1746
716,"BetterBot",377,1712
717,"BB-8",431,1500
717,"HastyBot",348,1614
718,"STEEBot",360,1867
718,"talulah",470,1564
720,"HastyBot",470,2283
720,"noahslat",467,1900
721,"Indominus",392,2190
721,"HastyBot",582,2310
722,"STEEBot",484,2120
722,"Fassie",258,1597
724,"TrentonTron",379,1912
724,"HastyBot",475,2009
725,"HastyBot",458,2275
725,"saracen256",351,1860
726,"HastyBot",514,2274
726,"Esan",399,2111
727,"HastyBot",477,1969
727,"ccm",395,1687
728,"Edemaro",306,1833
728,"HastyBot",521,2188
731,"HastyBot",376,2065
731,"jaundiced",475,1899
732,"IlmanHaziq",271,1758
732,"BetterBot",463,2082
733,"BB-8",356,1500
733,"HastyBot",410,1664
734,"josh",367,1529
734,"HastyBot",459,1971
735,"BetterBot",552,2011
735,"Scrabble_Enjoyer27",274,1768
736,"eideticeve",324,1913
736,"HastyBot",516,2276
737,"davidavid",353,1838
737,"BetterBot",367,1980
743,"BB-8",392,1500
743,"HastyBot",430,1640
745,"Rlowengrub",227,1253
745,"HastyBot",366,1942
746,"sbush",356,1817
746,"HastyBot",589,2020
749,"snorkl",252,1905
749,"STEEBot",526,2132
750,"BB-8",393,1500
750,"HastyBot",320,1614
751,"Rexington",658,2098
751,"STEEBot",342,2102
752,"Zynx",330,1874
752,"BetterBot",516,1994
755,"Jokker",320,1639
755,"BetterBot",364,2019
756,"BetterBot",397,1676
